timestamps,jvm.heap.usage.csv,ExecutorMetrics.OnHeapStorageMemory.csv,ExecutorMetrics.OnHeapExecutionMemory.csv,ExecutorMetrics.OnHeapUnifiedMemory.csv,executor.jvmGCTime.csv,executor.cpuTime.csv,executor.runTime.csv
0,0.007586902512589905,0.0,0.0,0.0,0.0,0.0,0.0
1,0.008882227863331675,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008314911450242251,0.0,0.0,0.0,0.0,0.0,0.0
3,0.015745092243717385,0.0,0.0,0.0,0.0,0.0,0.0
4,0.012843329459224156,0.0,0.0,0.0,0.0094,0.029598682600000002,0.2832
5,0.013790328631653822,0.0,0.0,0.0,0.0094,0.029598682600000002,0.2832
6,0.014454580053985856,0.0,0.0,0.0,0.0094,0.029598682600000002,0.2832
7,0.014817065768306053,0.0,0.0,0.0,0.0094,0.029598682600000002,0.2832
8,0.014537420904069964,0.0,0.0,0.0,0.0094,0.029598682600000002,0.2832
9,0.019350593648615595,0.0,0.0,0.0,0.0094,0.029598682600000002,0.2832
10,0.02322578629239907,0.0,0.0,0.0,0.0094,0.029598682600000002,0.2832
11,0.05192249007881161,0.003532600402832031,0.0,0.0017663002014160155,0.0094,0.029598682600000002,0.2832
12,0.04426827874690483,0.003532600402832031,0.0,0.0017663002014160155,0.0094,0.029598682600000002,0.2832
13,0.047245283160881495,0.2484455108642578,0.0,0.1242227554321289,0.0094,0.029598682600000002,0.2832
14,0.09131673568226877,0.2484455108642578,0.0,0.1242227554321289,0.21980000000000002,1.033401759,2.536
15,0.13226166358199692,0.4933584213256836,0.0,0.2466792106628418,0.21980000000000002,1.033401759,2.536
16,0.10090538471225066,0.4933584213256836,0.0,0.2466792106628418,0.21980000000000002,1.033401759,2.536
17,0.1521977429598185,0.4933584213256836,0.0,0.2466792106628418,0.21980000000000002,1.033401759,2.536
18,0.25063327452993045,0.4933584213256836,0.0,0.2466792106628418,0.45580000000000004,2.1348082356,4.9914
19,0.2454069381164869,63.299312591552734,0.0,31.649656295776367,1.6652,6.2666834082,14.8566
20,0.31374173603094535,192.55002870559693,0.0,96.27501435279846,1.6652,6.2666834082,14.8566
21,0.25210228144418606,269.37067918777467,0.0,134.68533959388733,1.6652,6.2666834082,14.8566
22,0.31264356756171036,269.37067918777467,0.0,134.68533959388733,1.9556,7.5135918188,17.6756
23,0.30340002448111564,394.2927617073059,0.0,197.14638085365294,2.2716,8.450589861,20.235599999999998
24,0.2628436362275185,394.2927617073059,0.0,197.14638085365294,2.4974000000000003,9.3822996692,21.868
25,0.30480983642980447,490.2305500984192,0.0,245.1152750492096,2.7056,9.6047536054,22.302599999999998
26,0.35442534428119526,490.2305500984192,0.0,245.1152750492096,2.9318,10.054372309200001,22.985799999999998
27,0.33156679567810077,490.2305500984192,0.0,245.1152750492096,2.9646,11.348266474,24.3382
28,0.36325478285297336,490.2305500984192,0.0,245.1152750492096,3.3331999999999997,11.830314659399999,25.1944
29,0.32059221485099176,552.6142455101013,0.0,276.30712275505067,3.3331999999999997,11.830314659399999,25.1944
30,0.3376894637864555,611.1148800849915,0.0,305.5574400424957,3.3396,14.062242475,27.8932
31,0.3923800851119413,628.178314781189,0.0,314.0891573905945,3.3396,15.5069715212,29.3372
32,0.36013938151555747,628.178314781189,0.0,314.0891573905945,3.3428,15.9672897324,29.9198
33,0.33256153084687634,628.1835304260254,0.0,314.0917652130127,3.348,17.0756892408,31.087400000000002
34,0.36155922042901156,628.1835304260254,0.0,314.0917652130127,3.3504,18.154691124400003,32.1822
35,0.32391108277406516,625.9008662223816,0.0,312.9504331111908,3.3528000000000002,19.5082863732,33.5546
36,0.3447964440659814,625.9008662223816,0.0,312.9504331111908,3.3562,20.731853818799998,34.7986
37,0.32462598239612656,625.9008662223816,0.0,312.9504331111908,3.3606,21.9309415406,36.112
38,0.33754308627745966,625.9008662223816,0.0,312.9504331111908,3.3621999999999996,23.2278799672,37.3294
39,0.35368551135357845,625.9149313926697,0.0,312.95746569633485,3.3621999999999996,24.2305423922,38.344199999999994
40,0.2975336055446542,625.9017640113831,0.0,312.95088200569154,3.367,25.407960788,39.541199999999996
41,0.3690586051322771,625.9062668800354,0.0,312.9531334400177,3.367,26.4575324066,40.5998
42,0.3401543512216017,625.9062668800354,0.0,312.9531334400177,3.3714,27.7310349394,41.889
43,0.3212387064006819,625.9156981468201,0.0,312.95784907341005,3.3734,29.062463355,43.2338
44,0.3445876597441412,625.9156981468201,0.0,312.95784907341005,3.3766,30.1745418326,44.3582
45,0.3531874424348458,625.9302844047546,0.0,312.9651422023773,3.3766,31.4559122044,45.6456
46,0.31904809706095183,625.9302844047546,0.0,312.9651422023773,3.3804000000000003,32.5426771352,46.7988
47,0.2955585042842958,625.9302844047546,0.0,312.9651422023773,3.3838000000000004,33.6077973596,47.824400000000004
48,0.3843097396553038,625.9302844047546,0.0,312.9651422023773,3.3861999999999997,34.7705584592,49.0002
49,0.36355425240868433,625.8941108703614,0.0,312.9470554351807,3.391,36.2309514154,50.4816
50,0.3280087779819622,625.8890105247498,0.0,312.9445052623749,3.3938,37.539981955,51.801199999999994
51,0.34292219330144114,625.8974123001099,0.0,312.94870615005493,3.3966,38.5818406626,52.8534
52,0.3627018627574306,625.8974123001099,0.0,312.94870615005493,3.3975999999999997,39.6889040964,53.9684
53,0.28911925297260155,625.9058144569397,0.0,312.9529072284698,3.4006,40.8718246838,55.1634
54,0.36484912682679677,625.9058144569397,0.0,312.9529072284698,3.404,42.248138761,56.5552
55,0.38048129942154557,625.9101385116577,0.0,312.95506925582885,3.404,43.5140109084,57.8262
56,0.34515916572367544,625.9101385116577,0.0,312.95506925582885,3.4078000000000004,44.6891781798,59.011199999999995
57,0.31427824569907503,625.9101385116577,0.0,312.95506925582885,3.4116,45.830553097800006,60.163
58,0.3401284661799858,625.9101385116577,0.0,312.95506925582885,3.414,46.872728077400005,61.2128
59,0.3705034326701595,625.9146383285522,0.0,312.9573191642761,3.4168000000000003,48.3830684562,62.7394
60,0.33697048858835355,625.9191382408142,0.0,312.9595691204071,3.4188,49.4969263836,63.8598
